ENV,Year,Location,PLOT,BLOCK,Plot_ID,GENO,ID,Moisture_per,Protein_unadjusted,SAA_unadjusted,Dietary_Fiber_unadjusted,Total_Starch_unadjusted,Resistance_Starch_unadjusted,Protein_15per_DB_Moisture,SAA_15per_DB_Moisture,Dietary_Fiber_15per_DB_Moisture,Total_Starch_15per_DB_Moisture,Resistance_Starch_15per_DB_Moisture,Protein_digestibility_per
CLEM22,2022,CLEM,1054,1,PSP.22CU.1054,429849,SRR5349956,4.257891051,20.28,NA,24.49,53.52,6.57,18.39,NA,22.2,48.52,5.95,85
CLEM22,2022,CLEM,1055,1,PSP.22CU.1055,343292,SRR5350014,5.025708035,20.29,NA,26.84,54.41,7.23,18.53,NA,24.51,49.69,6.6,86
CLEM22,2022,CLEM,1056,1,PSP.22CU.1056,12739,SRR5349859,4.06070487,20.44,NA,26.54,54.03,4.61,18.5,NA,24.02,48.89,4.17,85
CLEM22,2022,CLEM,1057,1,PSP.22CU.1057,253968,SRR5350108,4.46066326,20.19,NA,24.34,53.92,5.07,18.34,NA,22.11,48.98,4.6,84
CLEM22,2022,CLEM,1058,1,PSP.22CU.1058,195020,SRR5350158,7.808704885,19.77,NA,24.06,51.23,5.83,18.53,NA,22.56,48.03,5.46,85
CLEM22,2022,CLEM,1059,1,PSP.22CU.1059,15028,SRR5349854,4.147584996,19.56,NA,23.42,51.32,4.44,17.71,NA,21.21,46.48,4.02,84
CLEM22,2022,CLEM,1060,1,PSP.22CU.1060,263014,SRR5350099,6.098674762,21.22,NA,25.56,57.48,7.87,19.58,NA,23.58,53.04,7.26,85
CLEM22,2022,CLEM,1061,1,PSP.22CU.1061,639978,NA,4.687583171,19.76,NA,24.34,53.77,4.3,17.99,NA,22.16,48.95,3.91,85
CLEM22,2022,CLEM,1062,1,PSP.22CU.1062,261671,SRR5350101,6.046475769,21.16,NA,24.52,49.11,6.64,19.51,NA,22.61,45.29,6.13,85
CLEM22,2022,CLEM,1063,1,PSP.22CU.1063,263871,SRR5350096,4.480651049,21.08,NA,25.63,53.07,7.16,19.15,NA,23.29,48.22,6.5,85
CLEM22,2022,CLEM,1064,1,PSP.22CU.1064,269804,SRR5350086,3.018868189,19.99,NA,23.91,56.14,5.55,17.91,NA,21.42,50.29,4.97,85
CLEM22,2022,CLEM,1066,1,PSP.22CU.1066,263031,NA,7.626515961,18.53,NA,21.57,54.47,6.66,17.34,NA,20.19,50.98,6.23,84
CLEM22,2022,CLEM,1067,1,PSP.22CU.1067,220189,SRR5350130,11.18334535,19.8,NA,24.9,55.14,7.48,19.14,NA,24.07,53.31,7.23,85
CLEM22,2022,CLEM,1069,1,PSP.22CU.1069,285740,SRR5350038,8.273127416,19.35,NA,23.49,49.21,6.36,18.22,NA,22.12,46.33,5.99,85
CLEM22,2022,CLEM,1070,1,PSP.22CU.1070,272171,SRR5350074,8.284462337,20.26,NA,23.2,53.11,6.37,19.08,NA,21.85,50.01,6,85
CLEM22,2022,CLEM,1071,1,PSP.22CU.1071,275821,SRR5350062,8.592975827,19.27,NA,25.25,52.07,4.59,18.2,NA,23.84,49.17,4.34,85
CLEM22,2022,CLEM,1072,1,PSP.22CU.1072,347490,SRR5349992,8.028435642,19.46,NA,21.91,57.72,5.33,18.28,NA,20.58,54.23,5,84
CLEM22,2022,CLEM,1073,1,PSP.22CU.1073,274308,SRR5350064,9.372416924,19.09,NA,23.64,54.5,7.44,18.16,NA,22.48,51.83,7.07,84
CLEM22,2022,CLEM,1074,1,PSP.22CU.1074,166159,SRR5350184,7.203457776,20.14,NA,23.73,56.82,5.47,18.77,NA,22.12,52.97,5.1,85
CLEM22,2022,CLEM,1075,1,PSP.22CU.1075,324703,SRR5350020,9.992940755,20.38,NA,25.45,53.63,7.08,19.49,NA,24.34,51.29,6.77,85
CLEM22,2022,CLEM,1078,1,PSP.22CU.1078,409031,SRR5349968,8.546979447,18.29,NA,23.73,54.03,7.58,17.26,NA,22.4,50.99,7.16,85
CLEM22,2022,CLEM,1079,1,PSP.22CU.1079,356992,SRR5349984,7.725749872,20.27,NA,24.09,53.72,4.32,18.99,NA,22.57,50.32,4.05,85
CLEM22,2022,CLEM,1083,1,PSP.22CU.1083,272148,SRR5350075,6.125156856,18.46,NA,20.96,50.95,6.32,17.04,NA,19.34,47.02,5.83,84
CLEM22,2022,CLEM,1084,1,PSP.22CU.1084,206861,SRR5350142,6.544666432,19.57,NA,23.22,54.69,6.53,18.13,NA,21.51,50.67,6.05,85
CLEM22,2022,CLEM,1085,1,PSP.22CU.1085,275822,SRR5350061,7.785159312,19.84,NA,24.44,53.2,6.55,18.6,NA,22.91,49.86,6.14,85
CLEM22,2022,CLEM,1087,1,PSP.22CU.1087,261677,SRR5350100,8.787644046,21.1,NA,24.31,55.59,5.75,19.96,NA,23,52.59,5.44,85
CLEM22,2022,CLEM,1088,1,PSP.22CU.1088,288263,NA,7.493477267,21,NA,24.44,54.67,6.24,19.63,NA,22.84,51.1,5.83,85
